Step 0 | Time: 0.000s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 13 | Time: 0.217s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 14 | Time: 0.233s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 15 | Time: 0.250s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 16 | Time: 0.267s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 17 | Time: 0.283s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 18 | Time: 0.300s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 19 | Time: 0.317s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 20 | Time: 0.333s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 21 | Time: 0.350s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 22 | Time: 0.367s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 23 | Time: 0.383s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 24 | Time: 0.400s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 25 | Time: 0.417s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 26 | Time: 0.433s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 27 | Time: 0.450s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 28 | Time: 0.467s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 29 | Time: 0.483s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 30 | Time: 0.500s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 31 | Time: 0.517s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 32 | Time: 0.533s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 33 | Time: 0.550s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 34 | Time: 0.567s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 35 | Time: 0.583s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 36 | Time: 0.600s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 37 | Time: 0.617s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 38 | Time: 0.633s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 39 | Time: 0.650s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 40 | Time: 0.667s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 41 | Time: 0.683s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 42 | Time: 0.700s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 43 | Time: 0.717s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 44 | Time: 0.733s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 45 | Time: 0.750s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 46 | Time: 0.767s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 47 | Time: 0.783s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 48 | Time: 0.800s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 49 | Time: 0.817s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 50 | Time: 0.833s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 51 | Time: 0.850s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 52 | Time: 0.867s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 53 | Time: 0.883s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 54 | Time: 0.900s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 55 | Time: 0.917s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 56 | Time: 0.933s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 57 | Time: 0.950s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 58 | Time: 0.967s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 59 | Time: 0.983s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 60 | Time: 1.000s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 61 | Time: 1.017s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 62 | Time: 1.033s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 63 | Time: 1.050s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 64 | Time: 1.067s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 65 | Time: 1.083s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 66 | Time: 1.100s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 67 | Time: 1.117s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 68 | Time: 1.133s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 69 | Time: 1.150s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 70 | Time: 1.167s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 71 | Time: 1.183s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 72 | Time: 1.200s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 73 | Time: 1.217s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 74 | Time: 1.233s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 75 | Time: 1.250s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 76 | Time: 1.267s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 77 | Time: 1.283s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 78 | Time: 1.300s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 79 | Time: 1.317s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 80 | Time: 1.333s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 81 | Time: 1.350s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 82 | Time: 1.367s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 83 | Time: 1.383s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 84 | Time: 1.400s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 85 | Time: 1.417s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 86 | Time: 1.433s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 87 | Time: 1.450s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 88 | Time: 1.467s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 89 | Time: 1.483s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 90 | Time: 1.500s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 91 | Time: 1.517s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 92 | Time: 1.533s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 93 | Time: 1.550s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 94 | Time: 1.567s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 95 | Time: 1.583s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 96 | Time: 1.600s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 97 | Time: 1.617s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 98 | Time: 1.633s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 99 | Time: 1.650s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 100 | Time: 1.667s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 101 | Time: 1.683s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 102 | Time: 1.700s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 103 | Time: 1.717s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 104 | Time: 1.733s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 105 | Time: 1.750s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 106 | Time: 1.767s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 107 | Time: 1.783s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 108 | Time: 1.800s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 109 | Time: 1.817s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 110 | Time: 1.833s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 111 | Time: 1.850s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 112 | Time: 1.867s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 113 | Time: 1.883s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 114 | Time: 1.900s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 115 | Time: 1.917s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 116 | Time: 1.933s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 117 | Time: 1.950s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 118 | Time: 1.967s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 119 | Time: 1.983s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 120 | Time: 2.000s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 121 | Time: 2.017s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 2.80 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 1
Step 122 | Time: 2.033s | Pos: (638.4, 360.5) | Vel: (-95.7, 29.0) | Orient: 2.82 rad | AngVel: 0.75 | Speed: 100.0 | Score: 0 | ActiveShapes: 1
Step 123 | Time: 2.050s | Pos: (636.8, 361.0) | Vel: (-95.7, 29.0) | Orient: 2.83 rad | AngVel: 0.97 | Speed: 100.0 | Score: 0 | ActiveShapes: 1
Step 124 | Time: 2.067s | Pos: (635.2, 361.4) | Vel: (-95.7, 29.0) | Orient: 2.84 rad | AngVel: 0.82 | Speed: 100.0 | Score: 0 | ActiveShapes: 1
Step 125 | Time: 2.083s | Pos: (633.6, 361.9) | Vel: (-95.7, 29.0) | Orient: 2.85 rad | AngVel: 0.51 | Speed: 100.0 | Score: 0 | ActiveShapes: 1
Step 126 | Time: 2.100s | Pos: (632.0, 362.4) | Vel: (-95.7, 29.0) | Orient: 2.86 rad | AngVel: 0.19 | Speed: 100.0 | Score: 0 | ActiveShapes: 1
Step 127 | Time: 2.117s | Pos: (630.4, 362.9) | Vel: (-95.7, 29.0) | Orient: 2.86 rad | AngVel: -0.04 | Speed: 100.0 | Score: 0 | ActiveShapes: 1
Step 128 | Time: 2.133s | Pos: (628.8, 363.4) | Vel: (-95.7, 29.0) | Orient: 2.85 rad | AngVel: -0.16 | Speed: 100.0 | Score: 0 | ActiveShapes: 1
Step 129 | Time: 2.150s | Pos: (627.2, 363.9) | Vel: (-95.7, 29.0) | Orient: 2.85 rad | AngVel: -0.18 | Speed: 100.0 | Score: 0 | ActiveShapes: 1
Step 130 | Time: 2.167s | Pos: (625.6, 364.3) | Vel: (-95.7, 29.0) | Orient: 2.85 rad | AngVel: -0.15 | Speed: 100.0 | Score: 0 | ActiveShapes: 1
Step 131 | Time: 2.183s | Pos: (624.0, 364.8) | Vel: (-95.7, 29.0) | Orient: 2.85 rad | AngVel: -0.08 | Speed: 100.0 | Score: 0 | ActiveShapes: 1
Step 132 | Time: 2.200s | Pos: (622.5, 365.3) | Vel: (-95.7, 29.0) | Orient: 2.85 rad | AngVel: -0.03 | Speed: 100.0 | Score: 0 | ActiveShapes: 1
Step 133 | Time: 2.217s | Pos: (620.9, 365.8) | Vel: (-95.7, 29.0) | Orient: 2.85 rad | AngVel: 0.01 | Speed: 100.0 | Score: 0 | ActiveShapes: 1
Step 134 | Time: 2.233s | Pos: (619.3, 366.3) | Vel: (-95.7, 29.0) | Orient: 2.85 rad | AngVel: 0.03 | Speed: 100.0 | Score: 0 | ActiveShapes: 1
Step 135 | Time: 2.250s | Pos: (617.7, 366.8) | Vel: (-95.7, 29.0) | Orient: 2.85 rad | AngVel: 0.03 | Speed: 100.0 | Score: 0 | ActiveShapes: 1
Step 136 | Time: 2.267s | Pos: (616.1, 367.2) | Vel: (-95.7, 29.0) | Orient: 2.85 rad | AngVel: 0.03 | Speed: 100.0 | Score: 0 | ActiveShapes: 1
Step 137 | Time: 2.283s | Pos: (614.5, 367.7) | Vel: (-95.7, 29.0) | Orient: 2.85 rad | AngVel: 0.01 | Speed: 100.0 | Score: 0 | ActiveShapes: 1
Step 138 | Time: 2.300s | Pos: (612.9, 368.2) | Vel: (-95.7, 29.0) | Orient: 2.85 rad | AngVel: 0.00 | Speed: 100.0 | Score: 0 | ActiveShapes: 1
Step 139 | Time: 2.317s | Pos: (611.3, 368.7) | Vel: (-95.7, 29.0) | Orient: 2.85 rad | AngVel: -0.00 | Speed: 100.0 | Score: 0 | ActiveShapes: 1
Step 140 | Time: 2.333s | Pos: (609.7, 369.2) | Vel: (-95.7, 29.0) | Orient: 2.85 rad | AngVel: -0.01 | Speed: 100.0 | Score: 0 | ActiveShapes: 1
Step 141 | Time: 2.350s | Pos: (608.1, 369.7) | Vel: (-95.7, 29.0) | Orient: 2.85 rad | AngVel: -0.01 | Speed: 100.0 | Score: 0 | ActiveShapes: 1
Step 142 | Time: 2.367s | Pos: (606.5, 370.1) | Vel: (-95.7, 29.0) | Orient: 2.85 rad | AngVel: -0.00 | Speed: 100.0 | Score: 0 | ActiveShapes: 1
Step 143 | Time: 2.383s | Pos: (604.9, 370.6) | Vel: (-95.7, 29.0) | Orient: 2.85 rad | AngVel: -0.00 | Speed: 100.0 | Score: 0 | ActiveShapes: 1
